RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
N,GBT,TZ28089,,NIGAL,,3J,,,24/06/2016 06:40,TQ9834,,51.072,0.825,,,,,,A3,,GBKEN,TQ9834,,,80,,19.4,24/06/2016 06:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82757,,NIGAL,,4,,,17/11/2016 07:30,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,86,MYH,21.5,17/11/2016 07:30,MYH,,,N,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,,B rings used for NIGAL at KBO,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12103,,NIGAL,,3,,,20/11/2016 07:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,83,MW,18.9,20/11/2016 07:30,MW,,,N,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,B rings used for NIGAL at KBO resubmissi,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12105,,NIGAL,,4,,,22/11/2016 07:00,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,80,RW,19.2,22/11/2016 07:00,RW,,,N,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 2,B rings used for NIGAL at KBO resubmissi,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BJ28150,,NIGAL,,4,,,24/11/2016 07:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,83,OF,19.6,24/11/2016 07:00,OF,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82699,,NIGAL,,4,,,24/11/2016 08:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,86,RW,20.7,24/11/2016 08:30,RW,,,N,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,LBM;RBY,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12107,,NIGAL,,3,,,24/11/2016 10:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,82,MYH,18.7,24/11/2016 10:00,MYH,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 6,B rings used for NIGAL at KBO resubmissi,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,TZ28089,,NIGAL,,3,,,25/11/2016 07:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,80,OF,18.4,25/11/2016 07:30,OF,,,O,,,4,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12103,,NIGAL,,3,,,26/11/2016 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,84,PJB,19.6,26/11/2016 07:00,PJB,,,O,,,4,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 8, resubmission with correct allocation,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12109,,NIGAL,,6,,,22/02/2017 11:00,KARTON,TESITO,13.095,-16.769,,,,,,J1,,VM00,,,,84,WMJ,20.7,22/02/2017 11:00,WMJ,,,N,,,,,,,,,,,,71,,,,0,,M,,,,,,,,,,,,,,,net 5,B rings used for NIGAL at KBO,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
